BTDate,Version,Pairs,StartDate,EndDate,BarFreq,BarCount,DayCount,Sharpe,CAGR,CumRet,MaxDD,DDDur,StrategyParams
2016-07-31 03:17,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.45,14.30,41.09,26.09,258,"StatArbParams(lookbackWindow=10, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:17,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.84,25.32,78.82,24.68,157,"StatArbParams(lookbackWindow=10, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:17,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.56,16.59,48.49,25.54,258,"StatArbParams(lookbackWindow=10, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:18,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.93,27.96,88.71,24.50,164,"StatArbParams(lookbackWindow=10, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:18,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.50,15.27,44.20,24.05,255,"StatArbParams(lookbackWindow=10, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:18,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.99,28.22,89.68,22.96,152,"StatArbParams(lookbackWindow=10, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:18,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.54,16.22,47.28,24.05,255,"StatArbParams(lookbackWindow=10, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:19,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.95,27.14,85.58,22.64,152,"StatArbParams(lookbackWindow=10, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:19,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.35,11.82,33.32,23.36,234,"StatArbParams(lookbackWindow=10, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:19,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.76,22.13,67.33,22.58,147,"StatArbParams(lookbackWindow=10, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:19,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.39,12.62,35.82,23.35,234,"StatArbParams(lookbackWindow=10, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:19,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.64,19.04,56.66,22.37,165,"StatArbParams(lookbackWindow=10, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:20,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.16,8.28,22.74,22.19,255,"StatArbParams(lookbackWindow=10, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:20,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.80,21.95,66.71,20.23,152,"StatArbParams(lookbackWindow=10, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:20,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.13,7.80,21.34,21.92,255,"StatArbParams(lookbackWindow=10, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:20,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.81,21.93,66.63,19.81,139,"StatArbParams(lookbackWindow=10, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:20,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.47,15.40,44.63,22.18,235,"StatArbParams(lookbackWindow=20, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:20,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.86,27.35,86.40,20.27,142,"StatArbParams(lookbackWindow=20, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:21,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.61,18.82,55.91,22.16,235,"StatArbParams(lookbackWindow=20, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:21,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.93,29.99,96.48,20.45,143,"StatArbParams(lookbackWindow=20, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:21,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.39,13.48,38.51,21.73,190,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:21,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.81,25.10,78.01,19.94,112,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:21,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.58,17.59,51.80,20.95,190,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:21,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.85,26.57,83.46,19.96,131,"StatArbParams(lookbackWindow=20, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:22,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.51,15.59,45.23,21.37,255,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:22,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.86,24.43,75.57,19.70,139,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:22,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.54,16.04,46.68,21.22,255,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:22,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.86,25.19,78.34,19.70,147,"StatArbParams(lookbackWindow=20, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:22,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.67,17.84,52.61,16.80,181,"StatArbParams(lookbackWindow=20, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:22,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.74,20.36,61.18,19.44,155,"StatArbParams(lookbackWindow=20, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:22,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.75,19.37,57.78,16.90,161,"StatArbParams(lookbackWindow=20, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:23,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.70,19.81,59.29,19.38,154,"StatArbParams(lookbackWindow=20, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:23,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.82,23.31,71.54,21.59,171,"StatArbParams(lookbackWindow=40, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:23,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.18,36.53,122.99,22.27,106,"StatArbParams(lookbackWindow=40, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:23,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.78,22.63,69.10,20.95,236,"StatArbParams(lookbackWindow=40, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:23,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.29,40.29,139.15,22.24,100,"StatArbParams(lookbackWindow=40, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:23,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.86,23.44,72.02,20.96,141,"StatArbParams(lookbackWindow=40, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:24,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.42,42.20,147.62,21.33,99,"StatArbParams(lookbackWindow=40, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:24,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.86,23.43,71.98,20.95,146,"StatArbParams(lookbackWindow=40, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:24,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.48,44.21,156.71,20.27,94,"StatArbParams(lookbackWindow=40, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:24,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.53,15.72,45.65,20.32,255,"StatArbParams(lookbackWindow=40, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:24,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.47,39.20,134.37,19.85,116,"StatArbParams(lookbackWindow=40, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:24,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.63,17.60,51.83,20.32,255,"StatArbParams(lookbackWindow=40, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:25,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.37,36.42,122.52,19.87,116,"StatArbParams(lookbackWindow=40, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:25,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.62,16.11,46.91,18.60,158,"StatArbParams(lookbackWindow=40, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:25,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.23,29.37,94.10,19.53,140,"StatArbParams(lookbackWindow=40, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:25,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.68,16.85,49.34,18.60,158,"StatArbParams(lookbackWindow=40, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:25,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.15,27.52,87.02,19.54,140,"StatArbParams(lookbackWindow=40, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:25,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.62,19.00,56.51,24.63,254,"StatArbParams(lookbackWindow=60, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:26,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.18,36.85,124.33,22.49,117,"StatArbParams(lookbackWindow=60, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:26,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.77,22.75,69.54,24.22,193,"StatArbParams(lookbackWindow=60, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:26,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.12,35.17,117.30,22.49,117,"StatArbParams(lookbackWindow=60, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:26,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.63,17.26,50.70,22.16,236,"StatArbParams(lookbackWindow=60, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:26,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.15,31.54,102.57,21.87,87,"StatArbParams(lookbackWindow=60, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:26,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.65,17.73,52.25,23.11,237,"StatArbParams(lookbackWindow=60, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:27,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.10,30.62,98.98,21.87,116,"StatArbParams(lookbackWindow=60, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:27,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.44,12.44,35.24,21.04,255,"StatArbParams(lookbackWindow=60, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:27,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.13,28.60,91.15,21.18,117,"StatArbParams(lookbackWindow=60, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:27,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.36,11.04,30.96,22.33,255,"StatArbParams(lookbackWindow=60, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:27,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.13,28.63,91.24,20.29,104,"StatArbParams(lookbackWindow=60, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:28,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.58,14.46,41.60,19.90,234,"StatArbParams(lookbackWindow=60, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:28,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.16,26.87,84.59,19.83,78,"StatArbParams(lookbackWindow=60, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:28,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.55,13.98,40.08,20.66,255,"StatArbParams(lookbackWindow=60, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:28,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.10,25.86,80.82,19.84,78,"StatArbParams(lookbackWindow=60, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:28,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.58,17.45,51.32,27.62,256,"StatArbParams(lookbackWindow=80, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:28,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.08,33.08,108.74,23.49,112,"StatArbParams(lookbackWindow=80, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:29,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.58,17.48,51.42,27.62,256,"StatArbParams(lookbackWindow=80, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:29,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.08,33.22,109.32,23.42,191,"StatArbParams(lookbackWindow=80, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:29,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.75,20.65,62.15,27.02,237,"StatArbParams(lookbackWindow=80, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:29,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.23,34.70,115.36,22.31,81,"StatArbParams(lookbackWindow=80, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:29,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.69,19.07,56.74,27.02,255,"StatArbParams(lookbackWindow=80, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:30,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.17,32.77,107.49,22.28,93,"StatArbParams(lookbackWindow=80, entryZScore=1.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:30,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.56,15.89,46.19,26.94,255,"StatArbParams(lookbackWindow=80, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:30,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.47,37.23,125.94,21.33,90,"StatArbParams(lookbackWindow=80, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:30,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.45,13.79,39.46,26.93,255,"StatArbParams(lookbackWindow=80, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:30,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.28,32.22,105.31,21.02,90,"StatArbParams(lookbackWindow=80, entryZScore=1.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:30,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.36,10.76,30.11,26.07,254,"StatArbParams(lookbackWindow=80, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:31,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.39,31.40,102.03,19.95,143,"StatArbParams(lookbackWindow=80, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:31,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.36,10.99,30.80,26.00,254,"StatArbParams(lookbackWindow=80, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:31,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.38,31.84,103.79,19.96,143,"StatArbParams(lookbackWindow=80, entryZScore=2.0, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:31,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.65,18.89,56.15,24.85,243,"StatArbParams(lookbackWindow=100, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:31,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,1.04,31.77,103.51,24.74,193,"StatArbParams(lookbackWindow=100, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=60, earningsCeaseFire=False, logPrices=False, hurstEnabled=False, adfullerEnabled=False)"
2016-07-31 03:32,v1.2-19-g4610b83,CVCO_GVA,2014-01-01,2016-12-31,1M,143102,649,0.72,20.44,61.43,25.05,257,"StatArbParams(lookbackWindow=100, entryZScore=0.5, exitZScore=0.0, zScoreEvalFrequency=300, earningsCeaseFire=False, logPrices=True, hurstEnabled=False, adfullerEnabled=False)"
